module	kind	java_path	package	classname	fqdn	java_loc	go_basename_guess	go_match_path	status	go_loc	go_stub_score
core	prod	core/src/java/org/apache/lucene/search/FilterMatchesIterator.java	org.apache.lucene.search	FilterMatchesIterator	org.apache.lucene.search.FilterMatchesIterator	71	filter_matches_iterator	search/search_sprint53_overflow.go	IMPLEMENTED	107	0
core	prod	core/src/java/org/apache/lucene/search/TopTermsRewrite.java	org.apache.lucene.search	TopTermsRewrite	org.apache.lucene.search.TopTermsRewrite	205	top_terms_rewrite	search/top_terms_rewrite.go	IMPLEMENTED	33	1
core	prod	core/src/java/org/apache/lucene/search/IndexOrDocValuesQuery.java	org.apache.lucene.search	IndexOrDocValuesQuery	org.apache.lucene.search.IndexOrDocValuesQuery	208	index_or_doc_values_query	search/index_or_doc_values_query.go	IMPLEMENTED	89	0
core	prod	core/src/java/org/apache/lucene/search/FilterDocIdSetIterator.java	org.apache.lucene.search	FilterDocIdSetIterator	org.apache.lucene.search.FilterDocIdSetIterator	51	filter_doc_id_set_iterator	search/search_sprint53_overflow.go	IMPLEMENTED	107	0
core	prod	core/src/java/org/apache/lucene/search/DocScoreEncoder.java	org.apache.lucene.search	DocScoreEncoder	org.apache.lucene.search.DocScoreEncoder	42	doc_score_encoder		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/BlockMaxConjunctionScorer.java	org.apache.lucene.search	BlockMaxConjunctionScorer	org.apache.lucene.search.BlockMaxConjunctionScorer	246	block_max_conjunction_scorer		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/AbstractDocIdSetIterator.java	org.apache.lucene.search	AbstractDocIdSetIterator	org.apache.lucene.search.AbstractDocIdSetIterator	37	abstract_doc_id_set_iterator	search/search_sprint51_overflow.go	IMPLEMENTED	84	0
core	prod	core/src/java/org/apache/lucene/search/DisiWrapper.java	org.apache.lucene.search	DisiWrapper	org.apache.lucene.search.DisiWrapper	81	disi_wrapper		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/FilteredDocIdSetIterator.java	org.apache.lucene.search	FilteredDocIdSetIterator	org.apache.lucene.search.FilteredDocIdSetIterator	87	filtered_doc_id_set_iterator	search/search_sprint53_overflow.go	IMPLEMENTED	107	0
core	prod	core/src/java/org/apache/lucene/search/DisiPriorityQueue.java	org.apache.lucene.search	DisiPriorityQueue	org.apache.lucene.search.DisiPriorityQueue	75	disi_priority_queue		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/DocAndFloatFeatureBuffer.java	org.apache.lucene.search	DocAndFloatFeatureBuffer	org.apache.lucene.search.DocAndFloatFeatureBuffer	65	doc_and_float_feature_buffer	search/search_sprint52_overflow.go	IMPLEMENTED	99	0
core	prod	core/src/java/org/apache/lucene/search/SearcherManager.java	org.apache.lucene.search	SearcherManager	org.apache.lucene.search.SearcherManager	271	searcher_manager	search/searcher_manager.go	IMPLEMENTED	278	0
core	prod	core/src/java/org/apache/lucene/search/MultiCollector.java	org.apache.lucene.search	MultiCollector	org.apache.lucene.search.MultiCollector	303	multi_collector	search/multi_collector.go	IMPLEMENTED	59	0
core	prod	core/src/java/org/apache/lucene/search/TermStatistics.java	org.apache.lucene.search	TermStatistics	org.apache.lucene.search.TermStatistics	90	term_statistics	search/statistics.go	IMPLEMENTED	102	0
core	prod	core/src/java/org/apache/lucene/search/FuzzyTermsEnum.java	org.apache.lucene.search	FuzzyTermsEnum	org.apache.lucene.search.FuzzyTermsEnum	416	fuzzy_terms_enum	search/fuzzy_terms_enum.go	IMPLEMENTED	51	0
core	prod	core/src/java/org/apache/lucene/search/DisjunctionScoreBlockBoundaryPropagator.java	org.apache.lucene.search	DisjunctionScoreBlockBoundaryPropagator	org.apache.lucene.search.DisjunctionScoreBlockBoundaryPropagator	110	disjunction_score_block_boundary_propagator		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/PhraseQuery.java	org.apache.lucene.search	PhraseQuery	org.apache.lucene.search.PhraseQuery	631	phrase_query	search/phrase_query.go	IMPLEMENTED	193	0
core	prod	core/src/java/org/apache/lucene/search/RefreshCommitSupplier.java	org.apache.lucene.search	RefreshCommitSupplier	org.apache.lucene.search.RefreshCommitSupplier	39	refresh_commit_supplier	search/refresh_commit_supplier.go	IMPLEMENTED	26	0
core	prod	core/src/java/org/apache/lucene/search/DoubleValuesSource.java	org.apache.lucene.search	DoubleValuesSource	org.apache.lucene.search.DoubleValuesSource	785	double_values_source	search/double_values_source.go	IMPLEMENTED	37	1
core	prod	core/src/java/org/apache/lucene/search/SearcherLifetimeManager.java	org.apache.lucene.search	SearcherLifetimeManager	org.apache.lucene.search.SearcherLifetimeManager	293	searcher_lifetime_manager	search/searcher_lifetime_manager.go	IMPLEMENTED	293	0
core	prod	core/src/java/org/apache/lucene/search/DisiPriorityQueue2.java	org.apache.lucene.search	DisiPriorityQueue2	org.apache.lucene.search.DisiPriorityQueue2	110	disi_priority_queue2		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/IndriQuery.java	org.apache.lucene.search	IndriQuery	org.apache.lucene.search.IndriQuery	97	indri_query	search/indri_query.go	IMPLEMENTED	108	0
core	prod	core/src/java/org/apache/lucene/search/RegexpQuery.java	org.apache.lucene.search	RegexpQuery	org.apache.lucene.search.RegexpQuery	215	regexp_query	search/regexp_query.go	IMPLEMENTED	339	0
